customer_id,first_name,last_name,full_name,email,street,four_digits,country_id,credit_provider_id
126784,Ronnie,Dennison,Ronnie Dennison,Ronnied@gmail.com,575 Smith Summit Suite 219,9128,0,0
288311,Mark,Mailman,Mark Mailman,Markm@gmail.com,6858 Kristin Estates,2748,1,1
832901,Edward,Crieghton,Edward Crieghton,Edwardc@gmail.com,5615 Wilson Land,5185,45,2
979724,Dennis,Windley,Dennis Windley,Dennisw@gmail.com,03863 Jason Springs,4361,2,3
9867,Roger,Carlson,Roger Carlson,Rogerc@gmail.com,6591 Campbell Drives Apt. 133,6642,3,4
73220,Kevin,Knight,Kevin Knight,Kevink@gmail.com,22987 Rogers Garden,9871,4,1
227948,Yvonne,Rosenbeck,Yvonne Rosenbeck,Yvonner@gmail.com,1208 Duncan Coves Suite 301,4081,5,5
703819,Natalie,Rothermel,Natalie Rothermel,Natalier@gmail.com,4512 Harris Common,8625,6,5
202366,Alberto,Webster,Alberto Webster,Albertow@gmail.com,325 Kennedy Lake Apt. 269,8376,7,2
369052,Nicole,Cook,Nicole Cook,Nicolec@gmail.com,040 Garza Cliffs Apt. 133,8082,84,6
309451,John,Recalde,John Recalde,Johnr@gmail.com,0085 Elizabeth Mountains Apt. 863,3535,111,1
869679,Helen,Haskin,Helen Haskin,Helenh@gmail.com,4060 Michael Hill Suite 389,2294,129,0
791155,Donna,Hernandez,Donna Hernandez,Donnah@gmail.com,586 Smith Fork,6704,134,2
636626,Delmar,Mclaren,Delmar Mclaren,Delmarm@gmail.com,6608 Burke Tunnel Apt. 734,1503,141,0
613807,Emile,Perham,Emile Perham,Emilep@gmail.com,17093 Hunt Plains Suite 436,4851,234,5
23638,Robert,Salley,Robert Salley,Roberts@gmail.com,487 Diaz Keys Apt. 096,4958,8,7
141673,William,Fricks,William Fricks,Williamf@gmail.com,515 Diane Village Suite 769,8596,9,4
920145,Gary,Birkholz,Gary Birkholz,Garyb@gmail.com,97669 Robert Fields Apt. 422,4596,8,5
930557,Kaitlin,Miller,Kaitlin Miller,Kaitlinm@gmail.com,3978 Jones Plaza,3597,9,6
261993,Lavenia,Penny,Lavenia Penny,Laveniap@gmail.com,8960 Gould Cliffs,3199,10,4
