employee_id,first_name,last_name,full_name,email,city,department
1697,Loretta,Uhm,Loretta Uhm,Lorettau@gmail.com,Veronicaton,Finance
66,Michelle,Porter,Michelle Porter,Michellep@gmail.com,Evanburgh,Finance
3686,Ray,Glover,Ray Glover,Rayg@gmail.com,New Jademouth,Sales
1926,Jacquelyn,Morin,Jacquelyn Morin,Jacquelynm@gmail.com,East Raymond,BI
747,Paul,Richardson,Paul Richardson,Paulr@gmail.com,Port Markview,Sales
275,Florene,Burnett,Florene Burnett,Floreneb@gmail.com,Benjaminchester,Marketing
3726,Wilburn,Edwards,Wilburn Edwards,Wilburne@gmail.com,East Adamview,BI
415,Carol,Long,Carol Long,Caroll@gmail.com,Douglasshire,Marketing
2127,Emily,Hudson,Emily Hudson,Emilyh@gmail.com,Kelseychester,Marketing
288,Roseanne,Davis,Roseanne Davis,Roseanned@gmail.com,New Megan,Finance
2775,Marvin,Wright,Marvin Wright,Marvinw@gmail.com,New Aaronfort,BI
1594,Carla,Moczygemba,Carla Moczygemba,Carlam@gmail.com,South Adamfort,BI
3357,Brandon,Laura,Brandon Laura,Brandonl@gmail.com,Maxwellstad,Marketing
499,Billy,Morgan,Billy Morgan,Billym@gmail.com,Pricebury,Finance
3570,Janice,Abed,Janice Abed,Janicea@gmail.com,North Erinside,Marketing
3953,Maria,Powell,Maria Powell,Mariap@gmail.com,New Jessicahaven,Finance
1802,Richard,Doane,Richard Doane,Richardd@gmail.com,South Kristenshire,BI
1975,Diedra,Russell,Diedra Russell,Diedrar@gmail.com,Lake Joseborough,Sales
1137,Humberto,Rimson,Humberto Rimson,Humbertor@gmail.com,Brownburgh,BI
2656,Frank,Stanesic,Frank Stanesic,Franks@gmail.com,Floresview,BI
2651,Anthony,Padilla,Anthony Padilla,Anthonyp@gmail.com,South Sara,Finance
2629,Kenny,Yang,Kenny Yang,Kennyy@gmail.com,Port Emma,BI
390,Charlie,Rozell,Charlie Rozell,Charlier@gmail.com,Derrickshire,Finance
2474,Harold,Raymond,Harold Raymond,Haroldr@gmail.com,West Danielside,Sales
1583,Kevin,Koski,Kevin Koski,Kevink@gmail.com,Shanemouth,Marketing
1056,Francine,Harris,Francine Harris,Francineh@gmail.com,East Robert,Finance
990,Scott,Austin,Scott Austin,Scotta@gmail.com,Lake Krystalfort,Sales
625,Frank,Larkin,Frank Larkin,Frankl@gmail.com,East Aliciaview,Finance
361,Wilda,Munroe,Wilda Munroe,Wildam@gmail.com,Port Christian,Finance
2252,Dennis,Martinez,Dennis Martinez,Dennism@gmail.com,Daisystad,Finance
2858,John,Brown,John Brown,Johnb@gmail.com,New Cynthia,Finance
3005,George,Allen,George Allen,Georgea@gmail.com,Carolineside,Sales
2143,Jessica,Mckibben,Jessica Mckibben,Jessicam@gmail.com,North Manuel,Sales
1756,Beverly,Degan,Beverly Degan,Beverlyd@gmail.com,Clarkville,Finance
1498,Leslie,Patton,Leslie Patton,Lesliep@gmail.com,South Jaime,Marketing
879,Kasey,Marroquin,Kasey Marroquin,Kaseym@gmail.com,Mariaborough,Finance
3446,Stacee,Smith,Stacee Smith,Stacees@gmail.com,East Sean,Sales
1557,Danielle,Temple,Danielle Temple,Daniellet@gmail.com,Markshire,Finance
1444,Darlene,Carr,Darlene Carr,Darlenec@gmail.com,Jonesfurt,Finance
3836,Claire,Johns,Claire Johns,Clairej@gmail.com,Elizabethberg,Marketing
2844,Dorothy,Nobles,Dorothy Nobles,Dorothyn@gmail.com,Martinchester,BI
77,James,Lennox,James Lennox,Jamesl@gmail.com,Silvafort,BI
2060,Miriam,Weaver,Miriam Weaver,Miriamw@gmail.com,East Meagan,Marketing
1430,Charles,Stinson,Charles Stinson,Charless@gmail.com,Lake Larryburgh,Marketing
666,Corey,Freeman,Corey Freeman,Coreyf@gmail.com,Lake Kylefort,Sales
3597,Norman,Gray,Norman Gray,Normang@gmail.com,Lake Angelaville,Marketing
2568,Rickey,Beasley,Rickey Beasley,Rickeyb@gmail.com,Ramirezview,Finance
512,Edna,Neal,Edna Neal,Ednan@gmail.com,Jenniferton,Finance
2891,John,Dugan,John Dugan,Johnd@gmail.com,Port Philip,Marketing
1143,Marjorie,Barraza,Marjorie Barraza,Marjorieb@gmail.com,West Teresaberg,Finance
2825,Johnathan,Brooks,Johnathan Brooks,Johnathanb@gmail.com,Heatherburgh,Marketing
344,Matthew,Madison,Matthew Madison,Matthewm@gmail.com,West Kathleentown,Finance
1474,Dorothy,Miranda,Dorothy Miranda,Dorothym@gmail.com,Port Kimberlystad,Finance
3592,Adam,Bradford,Adam Bradford,Adamb@gmail.com,Alexanderfurt,Finance
3345,Robert,Turner,Robert Turner,Robertt@gmail.com,Raymondborough,Finance
1528,Maggie,Allen,Maggie Allen,Maggiea@gmail.com,Lake Tiffanyfurt,BI
3753,Jean,Deutsch,Jean Deutsch,Jeand@gmail.com,New Laurie,Sales
1170,George,Anderson,George Anderson,Georgea@gmail.com,Lake Jennifer,BI
1186,Rick,Billingsley,Rick Billingsley,Rickb@gmail.com,Poncestad,BI
