employee_id,first_name,last_name,full_name,email,city,department_id
1697,Loretta,Uhm,Loretta Uhm,Lorettau@gmail.com,Veronicaton,0
66,Michelle,Porter,Michelle Porter,Michellep@gmail.com,Evanburgh,0
3686,Ray,Glover,Ray Glover,Rayg@gmail.com,New Jademouth,1
1926,Jacquelyn,Morin,Jacquelyn Morin,Jacquelynm@gmail.com,East Raymond,2
747,Paul,Richardson,Paul Richardson,Paulr@gmail.com,Port Markview,1
275,Florene,Burnett,Florene Burnett,Floreneb@gmail.com,Benjaminchester,3
3726,Wilburn,Edwards,Wilburn Edwards,Wilburne@gmail.com,East Adamview,2
415,Carol,Long,Carol Long,Caroll@gmail.com,Douglasshire,3
2127,Emily,Hudson,Emily Hudson,Emilyh@gmail.com,Kelseychester,3
288,Roseanne,Davis,Roseanne Davis,Roseanned@gmail.com,New Megan,0
2775,Marvin,Wright,Marvin Wright,Marvinw@gmail.com,New Aaronfort,2
1594,Carla,Moczygemba,Carla Moczygemba,Carlam@gmail.com,South Adamfort,2
3357,Brandon,Laura,Brandon Laura,Brandonl@gmail.com,Maxwellstad,3
499,Billy,Morgan,Billy Morgan,Billym@gmail.com,Pricebury,0
3570,Janice,Abed,Janice Abed,Janicea@gmail.com,North Erinside,3
3953,Maria,Powell,Maria Powell,Mariap@gmail.com,New Jessicahaven,0
1802,Richard,Doane,Richard Doane,Richardd@gmail.com,South Kristenshire,2
1975,Diedra,Russell,Diedra Russell,Diedrar@gmail.com,Lake Joseborough,1
1137,Humberto,Rimson,Humberto Rimson,Humbertor@gmail.com,Brownburgh,2
2656,Frank,Stanesic,Frank Stanesic,Franks@gmail.com,Floresview,2
2651,Anthony,Padilla,Anthony Padilla,Anthonyp@gmail.com,South Sara,0
2629,Kenny,Yang,Kenny Yang,Kennyy@gmail.com,Port Emma,2
390,Charlie,Rozell,Charlie Rozell,Charlier@gmail.com,Derrickshire,0
2474,Harold,Raymond,Harold Raymond,Haroldr@gmail.com,West Danielside,1
1583,Kevin,Koski,Kevin Koski,Kevink@gmail.com,Shanemouth,3
1056,Francine,Harris,Francine Harris,Francineh@gmail.com,East Robert,0
990,Scott,Austin,Scott Austin,Scotta@gmail.com,Lake Krystalfort,1
625,Frank,Larkin,Frank Larkin,Frankl@gmail.com,East Aliciaview,0
361,Wilda,Munroe,Wilda Munroe,Wildam@gmail.com,Port Christian,0
2252,Dennis,Martinez,Dennis Martinez,Dennism@gmail.com,Daisystad,0
2858,John,Brown,John Brown,Johnb@gmail.com,New Cynthia,0
3005,George,Allen,George Allen,Georgea@gmail.com,Carolineside,1
2143,Jessica,Mckibben,Jessica Mckibben,Jessicam@gmail.com,North Manuel,1
1756,Beverly,Degan,Beverly Degan,Beverlyd@gmail.com,Clarkville,0
1498,Leslie,Patton,Leslie Patton,Lesliep@gmail.com,South Jaime,3
879,Kasey,Marroquin,Kasey Marroquin,Kaseym@gmail.com,Mariaborough,0
3446,Stacee,Smith,Stacee Smith,Stacees@gmail.com,East Sean,1
1557,Danielle,Temple,Danielle Temple,Daniellet@gmail.com,Markshire,0
1444,Darlene,Carr,Darlene Carr,Darlenec@gmail.com,Jonesfurt,0
3836,Claire,Johns,Claire Johns,Clairej@gmail.com,Elizabethberg,3
2844,Dorothy,Nobles,Dorothy Nobles,Dorothyn@gmail.com,Martinchester,2
77,James,Lennox,James Lennox,Jamesl@gmail.com,Silvafort,2
2060,Miriam,Weaver,Miriam Weaver,Miriamw@gmail.com,East Meagan,3
1430,Charles,Stinson,Charles Stinson,Charless@gmail.com,Lake Larryburgh,3
666,Corey,Freeman,Corey Freeman,Coreyf@gmail.com,Lake Kylefort,1
3597,Norman,Gray,Norman Gray,Normang@gmail.com,Lake Angelaville,3
2568,Rickey,Beasley,Rickey Beasley,Rickeyb@gmail.com,Ramirezview,0
512,Edna,Neal,Edna Neal,Ednan@gmail.com,Jenniferton,0
2891,John,Dugan,John Dugan,Johnd@gmail.com,Port Philip,3
